Id,Date,Text,Combined
17,10.6.2023,Gone to ACL Fest… Follow along @elarroyo_ATX,10.6.2023  Gone to ACL Fest… Follow along @elarroyo_ATX
18,10.5.2023,"I didn’t think orthopedic shoes would help, but I stand corrected","10.5.2023  I didn’t think orthopedic shoes would help, but I stand corrected"
19,10.4.2023,Every machine is a smoke machine if you operate it wrong enough,10.4.2023  Every machine is a smoke machine if you operate it wrong enough
20,10.3.2023,It goes without saying…,10.3.2023  It goes without saying…
21,10.2.2023,It’s October; Welcome to spooky Summer,10.2.2023  It’s October; Welcome to spooky Summer
22,9.29.2023,"Yee and dare I say it, Haw","9.29.2023  Yee and dare I say it, Haw"
23,9.28.2023,A penny for your thoughts seems a bit pricey,9.28.2023  A penny for your thoughts seems a bit pricey
24,9.27.2023,The speed limit depends on my mood and the music I’m hearing,9.27.2023  The speed limit depends on my mood and the music I’m hearing
25,9.26.2023,A worm is a pretty disappointing prize for waking up early if you ask me,9.26.2023  A worm is a pretty disappointing prize for waking up early if you ask me
26,9.25.2023,I am only as strong as the margarita I drink,9.25.2023  I am only as strong as the margarita I drink
27,9.22.2023,I would like to pause adulting and lower the difficulty,9.22.2023  I would like to pause adulting and lower the difficulty
28,9.21.2023,Next relationship I get into I’m gonna need a security deposit,9.21.2023  Next relationship I get into I’m gonna need a security deposit
29,9.20.2023,Nothing tests your patience like a group chat blowing up your phone,9.20.2023  Nothing tests your patience like a group chat blowing up your phone
30,9.19.2023,British people be like “I’m Bri ish”,9.19.2023  British people be like “I’m Bri ish”
31,9.18.2023,What do you call a reluctant potato? A hesitater,9.18.2023  What do you call a reluctant potato? A hesitater
32,9.15.2023,It’s Friday. Remember that bad decisions make the best stories,9.15.2023  It’s Friday. Remember that bad decisions make the best stories
33,9.14.2023,There is no “we” in Queso,9.14.2023  There is no “we” in Queso
34,9.13.2023,"Every time the Universe sends me a sign, I wait for a signier sign","9.13.2023  Every time the Universe sends me a sign, I wait for a signier sign"
35,9.12.2023,I am having Monday feelings towards Tuesday,9.12.2023  I am having Monday feelings towards Tuesday
36,9.11.2023,What kind of sandals do frogs wear? Open toad,9.11.2023  What kind of sandals do frogs wear? Open toad
37,9.8.2023,"If I let you over in traffic, I expect my wave","9.8.2023  If I let you over in traffic, I expect my wave"
38,9.7.2023,"When you get sent tiktoks to watch, it’s like friend homework","9.7.2023  When you get sent tiktoks to watch, it’s like friend homework"
39,9.6.2023,"Queso is more important than pumpkin spice, there I said it","9.6.2023  Queso is more important than pumpkin spice, there I said it"
40,9.5.2023,1st rule of cleaning while listening to music: the toilet brush is never the microphone,9.5.2023  1st rule of cleaning while listening to music: the toilet brush is never the microphone
41,9.1.2023,Turn signals… the original instant message,9.1.2023  Turn signals… the original instant message
42,8.31.2023,I have a friend that talks to his garden! Jack and the beans talk,8.31.2023  I have a friend that talks to his garden! Jack and the beans talk
43,8.30.2023,"I don’t do bugs, you could literally rob me with a roach","8.30.2023  I don’t do bugs, you could literally rob me with a roach"
44,8.29.2023,"Not only is it not Friday, it’s not even Thursday","8.29.2023  Not only is it not Friday, it’s not even Thursday"
45,8.28.2023,It’s funny because you trust your dog to guard your home but not your sandwich,8.28.2023  It’s funny because you trust your dog to guard your home but not your sandwich
46,8.25.2023,I drink tequila because it’s not good to keep things bottled up,8.25.2023  I drink tequila because it’s not good to keep things bottled up
47,8.24.2023,A good dog is all you need to get through anything,8.24.2023  A good dog is all you need to get through anything
48,8.23.2023,*Me after eating 14 cookies* “I want something salty”,8.23.2023  *Me after eating 14 cookies* “I want something salty”
49,8.22.2023,*Temperature* Sign needs to cool down before you can use it,8.22.2023  *Temperature* Sign needs to cool down before you can use it
50,8.21.2023,Please don’t ask me anything dumb in this heat,8.21.2023  Please don’t ask me anything dumb in this heat
51,8.18.2023,"Well, well, well, if it isn’t the bridge I said I’d cross when I came to it","8.18.2023  Well, well, well, if it isn’t the bridge I said I’d cross when I came to it"
52,8.17.2023,"Texans! Go wash your car, we need the rain","8.17.2023  Texans! Go wash your car, we need the rain"
53,8.16.2023,"Water: the most essential element; w/out it, you can’t make coffee or margs","8.16.2023  Water: the most essential element; w/out it, you can’t make coffee or margs"
54,8.15.2023,I went shopping on an empty stomach & I am now the proud owner of aisle 1,8.15.2023  I went shopping on an empty stomach & I am now the proud owner of aisle 1
55,8.14.2023,Children are like pancakes; the first one is always a bit weird,8.14.2023  Children are like pancakes; the first one is always a bit weird
56,8.11.2023,"Old McDonald had ChatGPT, AI AI Oh","8.11.2023  Old McDonald had ChatGPT, AI AI Oh"
57,8.10.2023,You don’t let ur dog on the furniture? I’d let my dog borrow my car if he needed to,8.10.2023  You don’t let ur dog on the furniture? I’d let my dog borrow my car if he needed to
58,8.9.2023,All I know for certain about today is that margaritas will be involved,8.9.2023  All I know for certain about today is that margaritas will be involved
59,8.8.2023,"Didn’t mean to be rude, it’s just the heat & my personality","8.8.2023  Didn’t mean to be rude, it’s just the heat & my personality"
60,8.7.2023,On time is whenever I get here,8.7.2023  On time is whenever I get here
61,8.4.2023,Sometimes I want to drop off my kids in 1985 just to see how long they’d make it,8.4.2023  Sometimes I want to drop off my kids in 1985 just to see how long they’d make it
62,8.3.2023,Texan: A person who chooses a restaurant based on their chips & salsa,8.3.2023  Texan: A person who chooses a restaurant based on their chips & salsa
63,8.2.2023,"I’ve learned so much from my mistakes, I’m thinking of making a few more","8.2.2023  I’ve learned so much from my mistakes, I’m thinking of making a few more"
64,8.1.2023,We need a GoFund Me for rain,8.1.2023  We need a GoFund Me for rain
65,7.31.2023,"Live, Laugh, Leave","7.31.2023  Live, Laugh, Leave"
66,7.28.2023,I drive home so quick after work like I’m late for the house,7.28.2023  I drive home so quick after work like I’m late for the house
67,7.27.2023,I don’t always go the extra mile but when I do it’s b/c I missed my exit,7.27.2023  I don’t always go the extra mile but when I do it’s b/c I missed my exit
68,7.26.2023,My phone just filmed a 5 hour documentary about life in my pocket,7.26.2023  My phone just filmed a 5 hour documentary about life in my pocket
69,7.25.2023,Nothing is my favorite pastime,7.25.2023  Nothing is my favorite pastime
70,7.24.2023,This day is only one margaritas away from being a good one,7.24.2023  This day is only one margaritas away from being a good one
71,7.21.2023,Common Sense: the least common of all the senses,7.21.2023  Common Sense: the least common of all the senses
72,7.20.2023,Ignoring texts is only ok when I do it,7.20.2023  Ignoring texts is only ok when I do it
73,7.19.2023,I can’t coffee this early without function,7.19.2023  I can’t coffee this early without function
74,7.18.2023,There’s something about speed limits that just doesn’t sit right with my foot,7.18.2023  There’s something about speed limits that just doesn’t sit right with my foot
75,7.17.2023,"Dear Weathermen, if you don’t have anything nice to say, don’t say anything","7.17.2023  Dear Weathermen, if you don’t have anything nice to say, don’t say anything"
76,7.14.2023,"Ok July we see you, you’re hot. No one like a show-off.","7.14.2023  Ok July we see you, you’re hot. No one like a show-off."
77,7.13.2023,Stranger: Nice to meet you,7.13.2023  Stranger: Nice to meet you
78,7.12.2023,Triscuits are a great snack for anyone who likes the taste of wicker furniture,7.12.2023  Triscuits are a great snack for anyone who likes the taste of wicker furniture
79,7.11.2023,"Whatever you’re going through right now, margaritas are the answer","7.11.2023  Whatever you’re going through right now, margaritas are the answer"
80,7.10.2023,How does Ibuprofen know where it hurts?,7.10.2023  How does Ibuprofen know where it hurts?
81,7.7.2023,Please hesitate to contact me,7.7.2023  Please hesitate to contact me
82,7.6.2023,"Sorry I can’t, I’m an inside cat","7.6.2023  Sorry I can’t, I’m an inside cat"
83,7.5.2023,"When life rips your jeans, make jorts","7.5.2023  When life rips your jeans, make jorts"
84,6.30.2023,"I can keep my mouth shut, but you can still read the subtitles on my face","6.30.2023  I can keep my mouth shut, but you can still read the subtitles on my face"
85,6.29.2023,"When I told my family I wanted to be cremated, I didn’t mean today!","6.29.2023  When I told my family I wanted to be cremated, I didn’t mean today!"
86,6.28.2023,Unfortunately my best proofreading is done after I hit send,6.28.2023  Unfortunately my best proofreading is done after I hit send
87,6.27.2023,Her: Tell me those three little words I want to hear,6.27.2023  Her: Tell me those three little words I want to hear
88,6.26.2023,I’ve decided to open a chair store! I’m going to name it “shack of sit”,6.26.2023  I’ve decided to open a chair store! I’m going to name it “shack of sit”
89,6.23.2023,"Some people are afraid to be corny, not me baby, I live on the cob","6.23.2023  Some people are afraid to be corny, not me baby, I live on the cob"
90,6.22.2023,"In Athens, no one wakes up b4 noon; dawn is tough on Greece","6.22.2023  In Athens, no one wakes up b4 noon; dawn is tough on Greece"
91,6.21.2023,It’s hot enough to make fajitas on the sidewalk,6.21.2023  It’s hot enough to make fajitas on the sidewalk
92,6.20.2023,Really had my heart on waking up rich today,6.20.2023  Really had my heart on waking up rich today
93,6.19.2023,That weekend needs a speeding ticket; went way too fast,6.19.2023  That weekend needs a speeding ticket; went way too fast
94,6.16.2023,"1 thing about me, no matter how bad the situation is, I’m gonna crack a lil jokey joke","6.16.2023  1 thing about me, no matter how bad the situation is, I’m gonna crack a lil jokey joke"
95,6.15.2023,I don’t even believe myself when I say I’ll be ready in 5 minutes,6.15.2023  I don’t even believe myself when I say I’ll be ready in 5 minutes
96,6.14.2023,Me: “Never again”,6.14.2023  Me: “Never again”
97,6.13.2023,It’s so hot I just watched a bird blow on a worm before it ate it,6.13.2023  It’s so hot I just watched a bird blow on a worm before it ate it
98,6.12.2023,"Vegetable has 9 letters in it, but then again, so does tacosssss","6.12.2023  Vegetable has 9 letters in it, but then again, so does tacosssss"
99,6.9.2023,It’s not just you! I make fun of everyone,6.9.2023  It’s not just you! I make fun of everyone
100,6.8.2023,Never thought I’d live to see this merger,6.8.2023  Never thought I’d live to see this merger
101,6.7.2023,You know what takes longer than a kid telling a story? Nothing,6.7.2023  You know what takes longer than a kid telling a story? Nothing
102,6.6.2023,A pun hasn’t completely matured until is full groan,6.6.2023  A pun hasn’t completely matured until is full groan
103,6.5.2023,My relationship with whiskey is on the rocks,6.5.2023  My relationship with whiskey is on the rocks
104,6.2.2023,Nothing a little margarita can’t fix!,6.2.2023  Nothing a little margarita can’t fix!
105,6.1.2023,"Dance like no one’s watching, but text like it will be read in court one day","6.1.2023  Dance like no one’s watching, but text like it will be read in court one day"
106,5.31.2023,So it turns out being an adult is mostly just googling how to do stuff,5.31.2023  So it turns out being an adult is mostly just googling how to do stuff
107,5.30.2023,I mean I’m over it but I’m definitely going to bring it up after a few drinks,5.30.2023  I mean I’m over it but I’m definitely going to bring it up after a few drinks
108,5.26.2023,I’m much smarter than my dating history would lead you to believe,5.26.2023  I’m much smarter than my dating history would lead you to believe
109,5.25.2023,Big wheels keep on turnin’; Rest in peace Tina Turner,5.25.2023  Big wheels keep on turnin’; Rest in peace Tina Turner
110,5.24.2023,A moment to yourself should be called a me-ment,5.24.2023  A moment to yourself should be called a me-ment
111,5.23.2023,"Sorry I had feelings, I’ll replace them with jokes right away!","5.23.2023  Sorry I had feelings, I’ll replace them with jokes right away!"
112,5.22.2023,If Target had a bar my life would be perfect,5.22.2023  If Target had a bar my life would be perfect
113,5.19.2023,Hope we didn’t need that -me vacuuming!,5.19.2023  Hope we didn’t need that -me vacuuming!
114,5.18.2023,"Never let anyone ruin your day, it’s your day, ruin it yourself","5.18.2023  Never let anyone ruin your day, it’s your day, ruin it yourself"
115,5.17.2023,IDK who needs to hear this but: Shar-Coo-Ter-EEE,5.17.2023  IDK who needs to hear this but: Shar-Coo-Ter-EEE
116,5.16.2023,I kinda wish Dolly sang 10-3 instead,5.16.2023  I kinda wish Dolly sang 10-3 instead
117,5.15.2023,"2. Yesterday, History; 3. Tomorrow, a Mystery; 1. Today, Tequila","5.15.2023  2. Yesterday, History; 3. Tomorrow, a Mystery; 1. Today, Tequila"
118,5.12.2023,Queserotonin: The Euphoric feeling you get from eating chips & queso,5.12.2023  Queserotonin: The Euphoric feeling you get from eating chips & queso
119,5.11.2023,Is it considered a day off if you are having an off day?,5.11.2023  Is it considered a day off if you are having an off day?
120,5.10.2023,"I’m allergic to in-laws, I break out in margaritas","5.10.2023  I’m allergic to in-laws, I break out in margaritas"
121,5.9.2023,Pretty sure I seized the wrong day,5.9.2023  Pretty sure I seized the wrong day
122,5.8.2023,What do you call fake potatoes? Imitaters,5.8.2023  What do you call fake potatoes? Imitaters
123,5.5.2023,And then the tequila whispered say what you really think,5.5.2023  And then the tequila whispered say what you really think
124,5.4.2023,Just say no to negativity,5.4.2023  Just say no to negativity
125,5.3.2023,Why are we so concerned about Area 51? What about the other 50?,5.3.2023  Why are we so concerned about Area 51? What about the other 50?
126,5.2.2023,"Hold my drink, I’ve gotta pet this dog","5.2.2023  Hold my drink, I’ve gotta pet this dog"
127,5.1.2023,I’ve told you a million times to stop exaggerating,5.1.2023  I’ve told you a million times to stop exaggerating
128,4.28.2023,You are not the father! RIP Jerry Springer,4.28.2023  You are not the father! RIP Jerry Springer
129,4.27.2023,It’s ok if you disagree with me! Can’t force you to be right,4.27.2023  It’s ok if you disagree with me! Can’t force you to be right
130,4.26.2023,"Spring food groups in Texas: BBQ, Tacos, & Claritin","4.26.2023  Spring food groups in Texas: BBQ, Tacos, & Claritin"
131,4.25.2023,Can’t imagine the self control required to work @ a bubble wrap factory,4.25.2023  Can’t imagine the self control required to work @ a bubble wrap factory
132,4.24.2023,Petition to change the city of Austin Utilities to Austin Powers,4.24.2023  Petition to change the city of Austin Utilities to Austin Powers
133,4.21.2023,To be old and wise you must first be young and stupid,4.21.2023  To be old and wise you must first be young and stupid
134,4.20.2023,I’m sending a W-2 to everyone who was in my business last year,4.20.2023  I’m sending a W-2 to everyone who was in my business last year
135,4.19.2023,I used to be a people person but people ruined it for me,4.19.2023  I used to be a people person but people ruined it for me
136,4.18.2023,What do you call a broken can opener? A can’t opener,4.18.2023  What do you call a broken can opener? A can’t opener
137,4.17.2023,"Don’t be so hard on yourself, you stupid idiot","4.17.2023  Don’t be so hard on yourself, you stupid idiot"
138,4.14.2023,It’s B-O-A-T season: Time to bust out another thousand,4.14.2023  It’s B-O-A-T season: Time to bust out another thousand
139,4.13.2023,Our margaritas pair well with difficult relatives,4.13.2023  Our margaritas pair well with difficult relatives
140,4.12.2023,"Clothes too dirty for the closet, too clean for the laundry, welcome to: the chair","4.12.2023  Clothes too dirty for the closet, too clean for the laundry, welcome to: the chair"
141,4.11.2023,I’m the kind of person who says hi to dogs,4.11.2023  I’m the kind of person who says hi to dogs
142,4.10.2023,Being 20 in the seventies was so much more fun than being 70 in the twenties,4.10.2023  Being 20 in the seventies was so much more fun than being 70 in the twenties
143,4.6.2023,Being abducted by aliens might just be the vacation I need at this point,4.6.2023  Being abducted by aliens might just be the vacation I need at this point
144,4.5.2023,Of course your opinion matters! Just not to me,4.5.2023  Of course your opinion matters! Just not to me
145,4.4.2023,"I realized why I love margaritas, it’s a way to drink salt","4.4.2023  I realized why I love margaritas, it’s a way to drink salt"
146,4.3.2023,"I do all my own stunts, just never intentionally","4.3.2023  I do all my own stunts, just never intentionally"
147,3.31.2023,I know I’m a handful but that’s why you got two hands,3.31.2023  I know I’m a handful but that’s why you got two hands
148,3.30.2023,"You say potato, I say vodka","3.30.2023  You say potato, I say vodka"
149,3.29.2023,Fluent queso spoken here,3.29.2023  Fluent queso spoken here
150,3.28.2023,"Diekhaus, Scruggs, Kinney, Peak, Koonce, Hill","3.28.2023  Diekhaus, Scruggs, Kinney, Peak, Koonce, Hill"
151,3.27.2023,U know ur old when u have upstairs Ibuprofen and downstairs Ibuprofen,3.27.2023  U know ur old when u have upstairs Ibuprofen and downstairs Ibuprofen
152,3.24.2023,"When a rooster lays eggs, you get dad yolks","3.24.2023  When a rooster lays eggs, you get dad yolks"
153,3.23.2023,Awwww my middle finger likes you,3.23.2023  Awwww my middle finger likes you
154,3.22.2023,I need a speed bump between my brain and my mouth,3.22.2023  I need a speed bump between my brain and my mouth
155,3.21.2023,Anything can be a UFO if you’re bad enough at identifying things,3.21.2023  Anything can be a UFO if you’re bad enough at identifying things
156,3.20.2023,"If you walk a mile in my shoes, you’ll end up in a bar","3.20.2023  If you walk a mile in my shoes, you’ll end up in a bar"
157,3.17.2023,"Of all the types of sausage, German is the wurst","3.17.2023  Of all the types of sausage, German is the wurst"
158,3.16.2023,"We don’t make mistakes, we just have happy accidents","3.16.2023  We don’t make mistakes, we just have happy accidents"
159,3.15.2023,I only have two moods:,3.15.2023  I only have two moods:
160,3.14.2023,“Who the f*$# took my…”,3.14.2023  “Who the f*$# took my…”
161,3.13.2023,U come from dust & U return to dust; that’s why I don’t dust! Could be someone I know,3.13.2023  U come from dust & U return to dust; that’s why I don’t dust! Could be someone I know
162,3.10.2023,"My emotional support animal is a chicken, in a tortilla, with cheese on top","3.10.2023  My emotional support animal is a chicken, in a tortilla, with cheese on top"
163,3.9.2023,"When you said friends with benefits, I assumed you owned a taco truck","3.9.2023  When you said friends with benefits, I assumed you owned a taco truck"
164,3.8.2023,Shenanigator: A person who investigates shenanigans,3.8.2023  Shenanigator: A person who investigates shenanigans
165,3.7.2023,“It’s the principle” justifies my pettiness,3.7.2023  “It’s the principle” justifies my pettiness
166,3.6.2023,"You can’t make a Dad joke if you’re not a Dad, that’s a faux pa","3.6.2023  You can’t make a Dad joke if you’re not a Dad, that’s a faux pa"
167,3.3.2023,"Never fight with a dinosaur, you’ll get jurasskicked","3.3.2023  Never fight with a dinosaur, you’ll get jurasskicked"
168,3.2.2023,If attractive ppl are called “eye candy” I guess you could say I’m “eye broccoli”,3.2.2023  If attractive ppl are called “eye candy” I guess you could say I’m “eye broccoli”
169,3.1.2023,"Safety first, JK. Coffee’s first! Safety’s like third or fourth.","3.1.2023  Safety first, JK. Coffee’s first! Safety’s like third or fourth."
170,2.28.2023,Eye drops are technically blinker fluid,2.28.2023  Eye drops are technically blinker fluid
171,2.27.2023,A fart is a wish your butt makes,2.27.2023  A fart is a wish your butt makes
172,2.24.2023,If they grew doritos on a farm it would be a pretty cool ranch,2.24.2023  If they grew doritos on a farm it would be a pretty cool ranch
173,2.23.2023,No need to repeat yourself! I ignored you fine the first time,2.23.2023  No need to repeat yourself! I ignored you fine the first time
174,2.22.2023,"My cooking is so awesome, even the smoke alarm cheers me on","2.22.2023  My cooking is so awesome, even the smoke alarm cheers me on"
175,2.21.2023,"Mardi Gras, the year’s best taco tuesday","2.21.2023  Mardi Gras, the year’s best taco tuesday"
176,2.17.2023,“Ramen” -Scooby Doo ending a prayer,2.17.2023  “Ramen” -Scooby Doo ending a prayer
177,2.16.2023,The UFOs want to talk to you about your car’s extended warranty,2.16.2023  The UFOs want to talk to you about your car’s extended warranty
178,2.15.2023,Happiness is a warm pun,2.15.2023  Happiness is a warm pun
179,2.14.2023,"Roses are red, salsa is too, I opened a jar and none is for you","2.14.2023  Roses are red, salsa is too, I opened a jar and none is for you"
180,2.13.2023,Monday after Super Bowl should be a national holiday,2.13.2023  Monday after Super Bowl should be a national holiday
181,2.10.2023,"It’s Friday, the only decision you need to make is bottle or glass","2.10.2023  It’s Friday, the only decision you need to make is bottle or glass"
182,2.9.2023,The only thing I want frozen now is my margarita,2.9.2023  The only thing I want frozen now is my margarita
183,2.8.2023,No one will listen to Whitesnake with me so here I go again on my own,2.8.2023  No one will listen to Whitesnake with me so here I go again on my own
184,2.7.2023,"All good, Chinese spy balloon did not get our queso recipe","2.7.2023  All good, Chinese spy balloon did not get our queso recipe"
185,2.6.2023,Elevator music bothers me on so many levels,2.6.2023  Elevator music bothers me on so many levels
186,2.3.2023,Today… Relax & eat some tacos,2.3.2023  Today… Relax & eat some tacos
187,2.2.2023,*Whispers to my coffee* Help me,2.2.2023  *Whispers to my coffee* Help me
188,2.1.2023,I can’t decide what pants to put on today: Smarty or Fancy,2.1.2023  I can’t decide what pants to put on today: Smarty or Fancy
189,1.31.2023,I’m so good at sleeping I can do it with my eyes closed,1.31.2023  I’m so good at sleeping I can do it with my eyes closed
190,1.30.2023,Time is precious waste it wisely,1.30.2023  Time is precious waste it wisely
191,1.27.2023,Multitasking (verb): screwing up several things at once,1.27.2023  Multitasking (verb): screwing up several things at once
192,1.26.2023,My biggest fear about becoming a zombie is all the walking,1.26.2023  My biggest fear about becoming a zombie is all the walking
193,1.25.2023,What would we do without onions & garlic,1.25.2023  What would we do without onions & garlic
194,1.24.2023,Stealing someone’s coffee is called mugging,1.24.2023  Stealing someone’s coffee is called mugging
195,1.23.2023,"Everytime u get dressed, remember if u die that’s ur ghost outfit forever","1.23.2023  Everytime u get dressed, remember if u die that’s ur ghost outfit forever"
196,1.20.2023,Everyone is normal until you get to know them,1.20.2023  Everyone is normal until you get to know them
197,1.19.2023,I am under no obligation to make sense to you,1.19.2023  I am under no obligation to make sense to you
198,1.18.2023,This gas stove debate is really heating up,1.18.2023  This gas stove debate is really heating up
199,1.17.2023,I will never get over the Avatar logo being papyrus,1.17.2023  I will never get over the Avatar logo being papyrus
200,1.16.2023,I have decided to stick with love; hate is too great a burden to bear,1.16.2023  I have decided to stick with love; hate is too great a burden to bear
201,1.13.2023,"Dry January Specials: Dry Martini, Dry White Wine, Dry Gin","1.13.2023  Dry January Specials: Dry Martini, Dry White Wine, Dry Gin"
202,1.12.2023,The only squat I’m used to doing is diddly,1.12.2023  The only squat I’m used to doing is diddly
203,1.11.2023,"It doesn’t snow in the south, but it does pollen","1.11.2023  It doesn’t snow in the south, but it does pollen"
204,1.10.2023,This month is just one giant monday,1.10.2023  This month is just one giant monday
205,1.9.2023,Picking up the slack for the dry January people is exhausting,1.9.2023  Picking up the slack for the dry January people is exhausting
206,1.6.2023,All of my passwords are protected… by amnesia,1.6.2023  All of my passwords are protected… by amnesia
207,1.5.2023,I thought growing old would take longer,1.5.2023  I thought growing old would take longer
208,1.4.2023,A pun has not completely matured until it is full groan,1.4.2023  A pun has not completely matured until it is full groan
209,1.3.2023,"No New Years resolutions this year, I’ve decided I’m perfect no changes","1.3.2023  No New Years resolutions this year, I’ve decided I’m perfect no changes"
211,12.21.2022,A clown just held the door for me… what a nice jester,12.21.2022  A clown just held the door for me… what a nice jester
212,12.20.2022,Am I getting older or does the grocery store play good music,12.20.2022  Am I getting older or does the grocery store play good music
213,12.19.2022,A burrito is just a modest taco,12.19.2022  A burrito is just a modest taco
214,12.16.2022,I usually charge for my chimney jokes but this one’s on the house,12.16.2022  I usually charge for my chimney jokes but this one’s on the house
215,12.15.2022,"Stop tracking that package, it’s in the… universe’s hands now","12.15.2022  Stop tracking that package, it’s in the… universe’s hands now"
216,12.14.2022,I’m trying to get into the Christmas Spirit but I can’t open the dang bottle,12.14.2022  I’m trying to get into the Christmas Spirit but I can’t open the dang bottle
217,12.13.2022,Someone from Ziploc should contact literally anyone in the cereal business,12.13.2022  Someone from Ziploc should contact literally anyone in the cereal business
218,12.12.2022,If we are in a “don’t laugh situation” don’t look at me,12.12.2022  If we are in a “don’t laugh situation” don’t look at me
219,12.9.2022,When the moon hits your eye like it’s 5:45 that’s December,12.9.2022  When the moon hits your eye like it’s 5:45 that’s December
220,12.8.2022,"Before the crowbar was invented, crows had to drink at home","12.8.2022  Before the crowbar was invented, crows had to drink at home"
221,12.7.2022,People keep mistaking my “wows” for compliments,12.7.2022  People keep mistaking my “wows” for compliments
222,12.6.2022,When is “old enough to know better” supposed to kick in,12.6.2022  When is “old enough to know better” supposed to kick in
223,12.5.2022,Why do we call them olives & not Greece’s pieces,12.5.2022  Why do we call them olives & not Greece’s pieces
224,12.2.2022,It’s a little known fact that cow farts come from the dairy air,12.2.2022  It’s a little known fact that cow farts come from the dairy air
225,12.1.2022,Five drunk guys will start a fight… five stoned guys will start a band,12.1.2022  Five drunk guys will start a fight… five stoned guys will start a band
226,11.30.2022,"I wish Santa would publish his naughty list, what a great way to meet ppl","11.30.2022  I wish Santa would publish his naughty list, what a great way to meet ppl"
227,11.29.2022,Never go to bed angry! Stay up late & plot your revenge,11.29.2022  Never go to bed angry! Stay up late & plot your revenge
228,11.28.2022,What do we want: racecar noises; When do we want em: right neoooooowww,11.28.2022  What do we want: racecar noises; When do we want em: right neoooooowww
229,11.23.2022,"This year instead of presents, I’m just going to give everyone my opinion","11.23.2022  This year instead of presents, I’m just going to give everyone my opinion"
230,11.22.2022,I before E except after C disproved by science,11.22.2022  I before E except after C disproved by science
231,11.21.2022,What are you going to make for Thanksgiving? Probably a scene,11.21.2022  What are you going to make for Thanksgiving? Probably a scene
232,11.18.2022,8 billion people in the world! & they all want Taylor Swift tickets,11.18.2022  8 billion people in the world! & they all want Taylor Swift tickets
233,11.17.2022,“I’m gonna wing it” -me about something I absolutely should not wing,11.17.2022  “I’m gonna wing it” -me about something I absolutely should not wing
234,11.16.2022,Where did Napoleon hid his armies? In his sleevies,11.16.2022  Where did Napoleon hid his armies? In his sleevies
235,11.15.2022,Someone made up dinosaur sounds without even hearing them,11.15.2022  Someone made up dinosaur sounds without even hearing them
236,11.14.2022,Words can’t describe how beautiful you are but numbers can: 4/10,11.14.2022  Words can’t describe how beautiful you are but numbers can: 4/10
237,11.11.2022,The most important question in a marriage: “Tacos tonight?”,11.11.2022  The most important question in a marriage: “Tacos tonight?”
238,11.10.2022,How to dress for cold weather: I wouldn’t know,11.10.2022  How to dress for cold weather: I wouldn’t know
239,11.9.2022,"Used to sneak out of my house to go to parties, now I do the opposite","11.9.2022  Used to sneak out of my house to go to parties, now I do the opposite"
240,11.8.2022,I’m voting for Regina George because she got hit by a bus,11.8.2022  I’m voting for Regina George because she got hit by a bus
241,11.7.2022,"Fall back, spring forward, eat tacos, repeat","11.7.2022  Fall back, spring forward, eat tacos, repeat"
242,11.4.2022,I have a degree in Communi-queso,11.4.2022  I have a degree in Communi-queso
243,11.3.2022,I don’t need to bereal; I need to bedrinkingmargaritas,11.3.2022  I don’t need to bereal; I need to bedrinkingmargaritas
244,11.2.2022,These boots are made for guacin’,11.2.2022  These boots are made for guacin’
